name,oblast_name,doctors_to_people_ration,decl_count,full_name
Зборівський р.,Тернопільська,0.1880186180213756,29121,"Зборівський р., Тернопільська область"
Локачинський р.,Волинська,0.18791437254536847,14000,"Локачинський р., Волинська область"
Чутівський р.,Полтавська,0.1845322250044004,17040,"Чутівський р., Полтавська область"
Шевченківський р.,Харківська,0.1839736844041828,14104,"Шевченківський р., Харківська область"
Шацький р.,Волинська,0.18325590771232486,13008,"Шацький р., Волинська область"
Василівський р.,Запорізька,0.183030341854921,48147,"Василівський р., Запорізька область"
Романівський р.,Житомирська,0.18073650124256346,47706,"Романівський р., Житомирська область"
Бориспільський р.,Київська,0.17989319879167126,92163,"Бориспільський р., Київська область"
Недригайлівський р.,Сумська,0.1792656829462315,17570,"Недригайлівський р., Сумська область"
Радехівський р.,Львівська,0.1769859910382623,23203,"Радехівський р., Львівська область"
м. Ладижин,Вінницька,0.1747854508590705,45789,"м. Ладижин, Вінницька область"
Снятинський р.,Іван-Франківська,0.17195200737592228,43214,"Снятинський р., Іван-Франківська область"
Полонський р.,Хмельницька,0.17167087260304542,35360,"Полонський р., Хмельницька область"
Старосамбірський р.,Львівська,0.17050298380221654,49490,"Старосамбірський р., Львівська область"
Острозький р.,Рівненська,0.1702639090590415,26879,"Острозький р., Рівненська область"
м. Лисичанськ,Луганська,0.1685848921712298,69616,"м. Лисичанськ, Луганська область"
Хорольський р.,Полтавська,0.1674898092919159,25944,"Хорольський р., Полтавська область"
Бердичівський р.,Житомирська,0.16748548459133542,80727,"Бердичівський р., Житомирська область"
Гусятинський р.,Тернопільська,0.16693198735566073,44651,"Гусятинський р., Тернопільська область"
Новоайдарський р.,Луганська,0.1663413226092104,23952,"Новоайдарський р., Луганська область"
Вишгородський р.,Київська,0.1647913412037678,56175,"Вишгородський р., Київська область"
Долинський р.,Іван-Франківська,0.16388303772203971,42947,"Долинський р., Іван-Франківська область"
м. Ізюм,Харківська,0.1624728365726355,47852,"м. Ізюм, Харківська область"
Золотоніський р.,Черкаська,0.1594321963004228,49745,"Золотоніський р., Черкаська область"
м. Вараш,Рівненська,0.15786416104670253,33587,"м. Вараш, Рівненська область"
Новобузький р.,Миколаївська,0.15448190630672382,22934,"Новобузький р., Миколаївська область"
Біляївський р.,Одеська,0.15362926547137076,65799,"Біляївський р., Одеська область"
Новопсковський р.,Луганська,0.15047056248632087,24991,"Новопсковський р., Луганська область"
Обухівський р.,Київська,0.14779237974910914,55557,"Обухівський р., Київська область"
Новгород-Сіверський р.,Чернігівська,0.147248714405455,18566,"Новгород-Сіверський р., Чернігівська область"
Арбузинський р.,Миколаївська,0.14554981442398662,14190,"Арбузинський р., Миколаївська область"
Камінь-Каширський р.,Волинська,0.14306458650757886,48488,"Камінь-Каширський р., Волинська область"
Яготинський р.,Київська,0.14284398080462588,28685,"Яготинський р., Київська область"
Києво-Святошинський р.,Київська,0.13906513463243345,125021,"Києво-Святошинський р., Київська область"
м. Куп`янськ,Харківська,0.13849648218935234,60582,"м. Куп`янськ, Харківська область"
Дніпровський р.,Дніпропетровська,0.13785987554623147,58535,"Дніпровський р., Дніпропетровська область"
Первомайський р.,Харківська,0.13727547832877782,32275,"Первомайський р., Харківська область"
Краснопільський р.,Сумська,0.13633243300463851,20136,"Краснопільський р., Сумська область"
м. Моршин,Львівська,0.13353837630120008,94563,"м. Моршин, Львівська область"
Олександрівський р.,Кіровоградська,0.13041766851148387,18401,"Олександрівський р., Кіровоградська область"
Роменський р.,Сумська,0.12937862260143285,62574,"Роменський р., Сумська область"
Васильківський р.,Київська,0.1270712615634848,82030,"Васильківський р., Київська область"
Липовецький р.,Вінницька,0.12664600226063116,28429,"Липовецький р., Вінницька область"
Теофіпольський р.,Хмельницька,0.12664038878599354,19832,"Теофіпольський р., Хмельницька область"
м. Енергодар,Запорізька,0.1260735817591525,43295,"м. Енергодар, Запорізька область"
Скадовський р.,Херсонська,0.12435075814693808,27711,"Скадовський р., Херсонська область"
Богородчанський р.,Іван-Франківська,0.12418844296573554,50805,"Богородчанський р., Іван-Франківська область"
Підволочиський р.,Тернопільська,0.12395386260157025,31810,"Підволочиський р., Тернопільська область"
Кіровоградський р.,Кіровоградська,0.12301787449716445,20346,"Кіровоградський р., Кіровоградська область"
Великоновосілківський р.,Донецька,0.12216606869590935,27915,"Великоновосілківський р., Донецька область"
Яворівський р.,Львівська,0.12214374486614572,91144,"Яворівський р., Львівська область"
м. Жовті Води,Дніпропетровська,0.1207714882670499,31089,"м. Жовті Води, Дніпропетровська область"
Краснокутський р.,Харківська,0.12071373388007367,20669,"Краснокутський р., Харківська область"
м. Сєвєродонецьк,Луганська,0.12071176926581785,79265,"м. Сєвєродонецьк, Луганська область"
м. Рубіжне,Луганська,0.11999513162608832,34844,"м. Рубіжне, Луганська область"
Гайсинський р.,Вінницька,0.11726606826573804,43913,"Гайсинський р., Вінницька область"
м. Бурштин,Іван-Франківська,0.11642912502883195,43600,"м. Бурштин, Іван-Франківська область"
м. Тернівка,Дніпропетровська,0.1159774385222928,21113,"м. Тернівка, Дніпропетровська область"
Крижопільський р.,Вінницька,0.1151742790090134,25997,"Крижопільський р., Вінницька область"
Красноградський р.,Харківська,0.11507825321218428,34626,"Красноградський р., Харківська область"
Городенківський р.,Іван-Франківська,0.1148037596379608,39028,"Городенківський р., Іван-Франківська область"
Тиврівський р.,Вінницька,0.11441419929958613,35867,"Тиврівський р., Вінницька область"
Подільський р.,Одеська,0.11257755098091987,44933,"Подільський р., Одеська область"
Лугинський р.,Житомирська,0.11252332347280733,39004,"Лугинський р., Житомирська область"
Путильський р.,Чернівецька,0.11002776085042996,15802,"Путильський р., Чернівецька область"
Великобагачанський р.,Полтавська,0.1092101715623539,18180,"Великобагачанський р., Полтавська область"
Диканський р.,Полтавська,0.10765581937672247,14987,"Диканський р., Полтавська область"
Веселівський р.,Запорізька,0.10540674603174603,15255,"Веселівський р., Запорізька область"
Дрогобицький р.,Львівська,0.1036545327195432,82292,"Дрогобицький р., Львівська область"
Генічеський р.,Херсонська,0.1035311517840636,42498,"Генічеський р., Херсонська область"
м. Вугледар,Донецька,0.10322345236837807,59547,"м. Вугледар, Донецька область"
Пирятинський р.,Полтавська,0.10286034034429413,18627,"Пирятинський р., Полтавська область"
Шосткинський р.,Сумська,0.10158586036918403,69353,"Шосткинський р., Сумська область"
Тернопільський р.,Тернопільська,0.10083871272483716,50697,"Тернопільський р., Тернопільська область"
Охтирський р.,Сумська,0.0992934886385335,52163,"Охтирський р., Сумська область"
Волноваський р.,Донецька,0.09917746070988473,52837,"Волноваський р., Донецька область"
м. Горішні Плавні,Полтавська,0.09878006618264434,43096,"м. Горішні Плавні, Полтавська область"
Верховинський р.,Іван-Франківська,0.09849020312156008,17707,"Верховинський р., Іван-Франківська область"
Путивльський р.,Сумська,0.09787734162128546,18427,"Путивльський р., Сумська область"
Волочиський р.,Хмельницька,0.0973794494583268,40588,"Волочиський р., Хмельницька область"
м. Дружківка,Донецька,0.09654571146875283,46260,"м. Дружківка, Донецька область"
Луцький р.,Волинська,0.09619540537573096,42792,"Луцький р., Волинська область"
Перемишлянський р.,Львівська,0.09618534916784643,30873,"Перемишлянський р., Львівська область"
Приморський р.,Запорізька,0.09525212602745294,21841,"Приморський р., Запорізька область"
Новоушицький р.,Хмельницька,0.09513661618083567,21991,"Новоушицький р., Хмельницька область"
Ківерцівський р.,Волинська,0.09439082521178943,47861,"Ківерцівський р., Волинська область"
Коростишівський р.,Житомирська,0.0941123324800482,29564,"Коростишівський р., Житомирська область"
Корюківський р.,Чернігівська,0.09306846049476523,22071,"Корюківський р., Чернігівська область"
Первомайський р.,Миколаївська,0.0929893471403916,69595,"Первомайський р., Миколаївська область"
Криничанський р.,Дніпропетровська,0.09289812420107613,25703,"Криничанський р., Дніпропетровська область"
Житомирський р.,Житомирська,0.0928764308277572,48553,"Житомирський р., Житомирська область"
Сторожинецький р.,Чернівецька,0.09198794667410316,71991,"Сторожинецький р., Чернівецька область"
Новомиколаївський р.,Запорізька,0.09122048447199303,11066,"Новомиколаївський р., Запорізька область"
Кам`янський р.,Черкаська,0.08960056070039762,21768,"Кам`янський р., Черкаська область"
Бершадський р.,Вінницька,0.08843275926716362,44429,"Бершадський р., Вінницька область"
Віньковецький р.,Хмельницька,0.08815724902365847,17958,"Віньковецький р., Хмельницька область"
Братський р.,Миколаївська,0.08680103466833325,9441,"Братський р., Миколаївська область"
Народицький р.,Житомирська,0.08537984068121729,6345,"Народицький р., Житомирська область"
Косівський р.,Іван-Франківська,0.08494542256600135,55617,"Косівський р., Іван-Франківська область"
м. Кремінна,Луганська,0.08383869435206663,25397,"м. Кремінна, Луганська область"
Вільнянський р.,Запорізька,0.08200595512335931,31709,"Вільнянський р., Запорізька область"
Каховський р.,Херсонська,0.08184969010013887,42491,"Каховський р., Херсонська область"
Нововоронцовський р.,Херсонська,0.08152469292365665,10999,"Нововоронцовський р., Херсонська область"
Уманський р.,Черкаська,0.08025443730198925,57534,"Уманський р., Черкаська область"
Рокитнівський р.,Рівненська,0.08022462896109106,38983,"Рокитнівський р., Рівненська область"
Веселинівський р.,Миколаївська,0.07950004014752028,16688,"Веселинівський р., Миколаївська область"
Баранівський р.,Житомирська,0.07944389275074479,32537,"Баранівський р., Житомирська область"
Немирівський р.,Вінницька,0.07930916792102775,37251,"Немирівський р., Вінницька область"
м. Люботин,Харківська,0.07902862529706295,151332,"м. Люботин, Харківська область"
Гуляйпільський р.,Запорізька,0.07888721691815255,20345,"Гуляйпільський р., Запорізька область"
Пулинський р.,Житомирська,0.07872391679826682,12880,"Пулинський р., Житомирська область"
м. Авдіївка,Донецька,0.07676364473785216,22467,"м. Авдіївка, Донецька область"
Калинівський р.,Вінницька,0.07488647210828385,47853,"Калинівський р., Вінницька область"
Козельщинський р.,Полтавська,0.07386693399461826,11541,"Козельщинський р., Полтавська область"
Воловецький р.,Закарпатська,0.07367176387568206,18004,"Воловецький р., Закарпатська область"
Балтський р.,Одеська,0.07355534242668063,31414,"Балтський р., Одеська область"
Тлумацький р.,Іван-Франківська,0.07288045419099053,31999,"Тлумацький р., Іван-Франківська область"
Старобільський р.,Луганська,0.07258982342525452,36393,"Старобільський р., Луганська область"
Магдалинівський р.,Дніпропетровська,0.07219935909184315,22670,"Магдалинівський р., Дніпропетровська область"
Долинський р.,Кіровоградська,0.07211309641136388,20117,"Долинський р., Кіровоградська область"
м. Чугуїв,Харківська,0.07181478778886327,59906,"м. Чугуїв, Харківська область"
Хустський р.,Закарпатська,0.07132758218061121,84057,"Хустський р., Закарпатська область"
Болградський р.,Одеська,0.07103105122404259,43074,"Болградський р., Одеська область"
Шишацький р.,Полтавська,0.07031135144809425,15921,"Шишацький р., Полтавська область"
